Bx(nT),By(nT),Bz(nT),Sampling frequency (Hz)
8822.61,2681.24,57777.14,1
8828.5,2688.13,57783.78,
8831.12,2691.93,57787.28,
8828.43,2688.62,57784.21,
8823.65,2684.56,57780.72,
8828.68,2690.76,57786.66,
8829.08,2690.3,57785.98,
8828.42,2687.24,57782.71,
8824.95,2685.99,57782.15,
8826.13,2687,57783.25,
8827.65,2688.76,57784.86,
8829.17,2689.86,57785.66,
8832.46,2694.27,57789.96,
8827.37,2688.82,57785.03,
8824.28,2684,57780.61,
8824.86,2686.54,57783.11,
8825.64,2685.66,57781.98,
8828.49,2689.37,57785.67,
8829.24,2690.04,57786.14,
8829.3,2690.3,57786.65,
8825.18,2687.19,57784.17,
8824.54,2682.66,57779.29,
8831.08,2690.97,57787.09,
8824.58,2684.35,57781.32,
8828.11,2688.71,57785.48,
8824.03,2683.05,57780.14,
8823.7,2681.55,57778.55,
8829.02,2688.29,57785.13,
8828.15,2686.87,57783.65,
8829.62,2688.58,57785.27,
8825.44,2685.27,57782.67,
8823.73,2683.7,57781.42,
8822.26,2680.82,57778.41,
8823.18,2680.48,57777.79,
8831.35,2689.78,57786.59,
8827.04,2685.7,57782.95,
8827.08,2686.06,57783.58,
8823.38,2681.61,57779.49,
8822.03,2680.93,57779.16,
8829.38,2688.77,57786.2,
8829.56,2688.96,57786.36,
8826.42,2684.04,57781.51,
8825.16,2682.77,57780.69,
8829.77,2687.75,57785.09,
8826.37,2683.65,57781.38,
8827.5,2684.22,57781.76,
8827.48,2685.47,57783.18,
8827.91,2686.07,57783.68,
8828.22,2687.52,57785.16,
8828.11,2686.7,57784.52,
8827.79,2685.8,57783.42,
8826.01,2684.29,57782.04,
8825.91,2683.56,57781.41,
8827.31,2684.58,57782.11,
8823.89,2681.06,57778.86,
8826.64,2685.64,57783.4,
8826.09,2683.29,57781.13,
8826.32,2684.09,57781.7,
8830.34,2687.93,57785.16,
8828.54,2687.77,57785.16,
8822.94,2680.61,57778.65,
8828.92,2685.89,57783.23,
8826.29,2684.35,57782.23,
8826.84,2683.76,57781.31,
8827.17,2683.2,57780.57,
8827.14,2684.28,57781.84,
8826.52,2684.26,57781.85,
8828.37,2686.57,57783.89,
